dst_mac,src,dst,protocol,dport,src_mac,sport
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.246.48,TCP,443,cc:47:40:eb:19:bb,60327
cc:47:40:eb:19:bb,13.107.246.48,192.168.1.7,TCP,60327,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.246.48,192.168.1.7,TCP,60327,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.246.48,192.168.1.7,TCP,60327,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,13.107.246.48,192.168.1.7,TCP,60327,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.246.48,TCP,443,cc:47:40:eb:19:bb,60327
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.246.48,TCP,443,cc:47:40:eb:19:bb,60327
cc:47:40:eb:19:bb,13.107.246.48,192.168.1.7,TCP,60327,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.246.48,TCP,443,cc:47:40:eb:19:bb,60327
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
cc:47:40:eb:19:bb,13.107.246.48,192.168.1.7,TCP,60327,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
cc:47:40:eb:19:bb,13.107.13.80,192.168.1.7,TCP,53409,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,13.107.13.80,TCP,443,cc:47:40:eb:19:bb,53409
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
cc:47:40:eb:19:bb,150.171.27.11,192.168.1.7,TCP,58022,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,150.171.27.11,TCP,443,cc:47:40:eb:19:bb,58022
7c:a9:6b:5a:f6:e0,192.168.1.7,172.64.41.3,UDP,443,cc:47:40:eb:19:bb,63213
